source_row_number,source_number,academic_unit,international_or_national_certification,private_or_other_certification,foreign_language,awards,employment_or_experience,double_major_requirement,reference_note,source_note
6,2,영어영문학과,"* 컴퓨터 활용능력 1급 및 워드프로세서 ※ 두가지 모두 취득해야함 * 무역영어 2급이상(영문해석, 영작문, 무역실무)",,* 토익700이상 또는 이에 상응하는 국제공인 영어 자격증(오픽/토스/토플 등 ※ 점수환산표 참고) * 전공 원어민 회화 교과 이수(3과목 이상 B+이상 취득 ※ 해당 과목 지정표 참고),,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 창업(사업자등록증, 사업계획서(또는 보고서) 증빙) * 임관종합평가에 합격한 ROTC임관예정자(학군사관후보생지원서 및 합격예정공문 증빙) * 대학원 진학(합격증명서 증빙) ※ 상기 네 항목은 모두 1) 증빙자료를 제출하고 2) 제출 자료를 토대로 기간 내 학과 면접 후 합격 여부 결정",본과생과 동일,세부사항 학과홈페이지 참조,
7,13,글로벌경제학과,"*데이터분석 준전문가(ADsP) *전산회계운용사 1,2급/ *전산회계1급 *전산세무2급 *컴퓨터 황용능력 2급 이상(or조건) *공인노무사 *관세사 *유통관리사2급이상 *세무사 *감정평가사 *변리사 *공인중개사 *공인회계사 *물류관리사 *보험계리사 *보험중계사 *손해사정사 *증권투자&펀드투자&파생상품투자상담사(3개모두취득시대체가능) *증권투자 *펀드투자 *자산관리사 *경제이해력검증시험(TESAT) (한국2급이상 or 매일 700점이상) *AFPK *CFP",,"*토익700이상 *토익스피킹 130이상 *토플500(IBT60,CBT170)이상 *HSK7급(신5급)이상 *JPT500 이상 *JLPT 2급이상",,[요건별 필요 증빙서류 제출시 보고서 대체 가능] * 4대보험 보장 기업 취업 - 재직증명서 - 건강보험자격득실확인서 * 창업 - 사업자등록증 - 건강보험자격득실확인서 * 임관종합평가에 합격한 ROTC임관예정자 - 학군사관후보생지원서 및 합격예정공문 등 증빙서류 * 대학원 진학 - 합격증명서 증빙,본과생과 동일,,
8,14,경영학과,[1개 이상 취득 시 졸업요건 충족 자격증] * 공인회계사 1차 이상 * 세무사 1차 이상 * 미국공인회계사(AICPA) * 개인종합재무설계사(AFPK) * 공인재무분석사(CFA) * 국제공인 재무설계사(CFP) * 국제공인 정보시스템 감사사(CISA) * 경영지도사 * 공인노무사,[1개 이상 취득 시 졸업요건 충족 자격증] (해당 자격증 없음),"[어학 자격증 1개 취득 시 졸업요건 충족] (1) 영어 * TOEFL (PBT 500점, iBT 60점, CBT 170점 이상) * TOEIC 700점 이상 * TOEIC speaking 130점 이상 * TOEIC speaking&writing 5급 이상 * Opic IM1 이상 (2) 중국어 * HSK 7급 이상 * 新HSK 5급 이상 (3) 일본어 * JPT 750점 이상 * 新JLPT N2 이상 * 舊JLPT 2급 이상",,,"* 본과생과 동일 * 단, 어학 전공(미국, 국제지역학, 중국, 영문) 학과 학생은 해당 전공 어학 자격증 불인정",,
9,14,경영학과,[3개 이상 취득 시 졸업요건 충족 자격증(복수전공생 : 2개)] * 자산관리사(FP) * 신용분석사 * 재경관리사 * 전산회계운용사1급 * 회계관리1급 * 전산회계1급 * 세무회계1급 * 기업회계1급 * 전산세무2급이상 * FAT1급 * TAT 2급 이상 * 물류관리사 2급 이상 * 유통관리사 2급 이상 * 사회조사분석사 1급 이상 * ERP 정보관리사 2급 이상 (회계/인사/생산/물류) * 정보처리산업기사 * 정보시스템감리사 * 데이터분석 준전문가 * 경영정보시각화능력,[3개 이상 취득 시 졸업요건 충족 자격증 (복수전공생 : 2개)] * 구매자재관리사 * 품질경영진단사,,,,,,
10,15,국제통상학과,* 관세사 * 세무사 * 물류관리사 * 유통관리사2급 이상 * 보세사 * 원산지관리사 * 무역영어 1급,* 국제무역사1급 * 외환관리사,"* 토익750이상 * 토플500(IBT60, CBT170)이상 * 신HSK6급이상 * JPT750(JLPT2급)이상 * OPIc IM이상 * TOICE SPEAKING LV6이상",,"* 4대보험 보장 기업, 기관, 공무원 등 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 창업(사업자등록증, 사업계획서(또는 보고서) 증빙) * 임관종합평가에 합격한 ROTC임관예정자","* 창의 및 인증심사 부분 본과생과 동일 ※ 복수전공생 합격 요건 : 시험 or 자격증 or 외국어 * 어학 전공(영어영문, 중국, 국제지역학 등) 학과 학생은 해당 전공 어학 자격증을 불인정함.",,
11,16,국제지역학전공,,,* JLPT N1 * JPT 700이상 * 토익 700이상,,"*취업(재직증명서+건강보험자격득실확인서) *해외취업의 경우, 재직증명서+급여명세서",본과생과 동일,*외국인 유학생:본과생과 동일,
12,17,중국학전공,,,"[재학생] * 신HSK5급 이상 * 토익 700점 이상 * 토익스피킹 130점 이상 [외국인, 이중언어과정 편입생] 1. 한국어능력시험(TOPIK 또는 TOPIK IBT) 4급(예체능계열 3급) 이상 취득 2-1. 복수학위생 및 외국어특별전형 입학 유학생 : 국제협력대학 자체 시행 한국어능력시험 통과 2-2. 이중언어과정 및 중국어트랙 : 한국어교육센터의 한국어특별과정 300시간 이상 출석 3. 세종학당 중급2 이상 이수 4. 사회통합프로그램 4단계 이상 이수",,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 창업(사업자등록증)증빙 * 임관종합평가에 합격한 ROTC임관예정자 * 공무원합격",본과생과 동일,,
13,18,미국학전공,,,*TOEIC 800이상 *TOEFL IBT 60이상 *TOEIC 750이상 + TOEIC SPEAKING 130점이상,,,본과생과 동일,,
14,19,공공인재법학과,*컴퓨터활용능력 2급 이상 취득 *법무사/손해사정사 *변리사/보험계리사 *관세사/보험중개사 *감정평가사/행정관리사 *세무사/공인노무사 *공인중개사 위 자격의 1차 합격자,*한자능력검정시험 6급이상 *한자급수시험 6급이상,*토익500이상 *토익스피킹 Level4 * [외국인 학생]이중언어과정 편입생(4개 중 1이상 충족) 1. 한국어능력시험(TOPIK 또는 TOPIK IBT) 4급(예체능계열 3급) 이상 취득 2. 한국어교육센터의 한국어특별과정 300시간 이상 출석 3. 세종학당 중급2 이상 이수 4. 사회통합프로그램 4단계 이상 이수,,*공무원시험 합격자 *임관종합평가에 합격한 ROTC임관예정자,본과생과 동일,,
15,20,행정정보학과,* 전산회계1급 * 전산세무1급 * 사회조사분석사 2급 * FAT 1급,* 행정관리사 3급 * 정책분석평가사 3급 * 공인전문능력자격증 : 공공빅데이터관리분석사,"* (유학생만 해당) [ 외국인, 이중언어과정 편입생] 1. 한국어능력시험(TOPIK 또는 TOPIK IBT) 4급(예체능계열 3급) 이상 취득 2-1. 복수학위생 및 외국어특별전형 입학 유학생 : 국제협력대학 자체 시행 한국어능력시험 통과 2-2. 이중언어과정 및 중국어트랙 : 한국어교육센터의 한국어특별과정 300시간 이상 출석 3. 세종학당 중급2 이상 이수 4. 사회통합프로그램 4단계 이상 이수","* 공식적인 논문발표대회, 논문공모전 수상","* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 창업(사업자등록증, 사업계획서(또는 보고서) 증빙) * 임관종합평가에 합격한 ROTC임관예정자",본과생과 동일,,
16,21,사회복지학과,* 컴퓨터 활용능력 2급 이상 * MOS MASTER 취득,,* 토익 700점 이상,,"* 4대보험 보장 기업 취업(재직증명서, 건강보험자격득실확인서 증빙)",* 졸업시험 충족,* 외국인 학생 : 졸업시험 충족,
17,22,아동학과,* 보육교사자격증 2급 * 컴퓨터활용능력 2급 이상,,"* 토익700이상 * 토플 IBT 70 이상 * JPT 540 (JLPT2급) 이상 * HSK5급 이상 *외국인유학생 ①한국어능력시험 4급이상 취득, ②국제협력대학 자체 한국어 능력시험 통과, ③세종학당 중급2 이상 이수, ④사회통합프로그램 4단계 이상 이수 *이중언어과정 편입생 ①한국어능력시험 4급이상 취득, ②한국어교육센터의 한국어 특별과정 300시간 이상 출석, ③세종학당 중급 2이상 이수, ④사회통합프로그램 4단계 이상 이수",,,본과생과 동일,,
18,23,미디어커뮤니케이션학과,,,"[필수요건] 토익600점이상 [졸업논문 대체 가능 요건] *토익750점이상(토익스피킹, 오픽 성적이 토익성적 750점 이상에 상응하는 점수는 대체 인정) *HSK5급이상 *JLPT N2이상(JPT 성적 JLPT N2 이상 상응하는 점수는 대체인정) *외국인 유학생의 경우 TOPIK 한국어 능력 4급(국제협력대학 한국어 능력시험 합격증도 인정 가능)","*전국단위규모 공모전 입상 (1-4학년까지 재학중 참가한 공모전, 또한 공모전 참여 인원 수 3명까지만 졸업시험 대체인정) *기타 : 졸업작품 미디어페스티벌 출품 시 졸업시험 가산점 부여 (최대 50점 이내)","*취업자의 경우 증빙서류 (직무기술서, 4대보험가입증, 재직증명서)제출 시 졸업시험 대체인정 (복수전공생은 해당사항 없음)","*[외국어 필수요건]제외 *아래 2개 중 1개 이상 충족 1. 졸업시험 합격 2. 토익 750점 이상(토익스피킹, 오픽 성적 등 토익성적 750점 이상 상응하는 점수 인정) 3. 전국단위공모전 입상",,
19,24,문헌정보학과,* 정보처리기사 * 준학예사(필기) * 컴퓨터활용능력 1급,,* 토익 700 이상 * JPT 540 이상 * JLPT N2 이상 * HSK 5급 이상 * 한국어능력시험 4급 이상(외국인 유학생만 해당),,,본과생과 동일,,
20,25,의생명과학과,"* 국가 공인 자격증 및 그 외 동등하다고 인정되는 자격증(학과 홈페이지 참조) * 기타 전공종합시험을 대체할만한 자격이라고 인정되는 경우(채점위원 만장일치) * 주요 자격증 예시 환경기사(수질/대기/토양/폐기물/해양) 자연생태복원기사, 식물보호기사 식물/동물분류기사, 생명/생물 공학사",,* TOEIC 800점 이상 * TOEIC-SPEAKING 140점이상 * New TEPS 309 - 310점 이상 * TOEFL iBT 91점 이상 * TOEFL iTP 587점 이상 * Opic IM 이상,,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 임관종합평가에 합격한 ROTC임관예정자",본과생과 동일,* 졸업 시점 기준 역산하여 3년 이내 취득한 공인영어 성적만 허용된다. * 일본어를 비롯한 기타 외국어는 학과 회의를 통해서 충족 여부를 결정한다.,
21,27,스포츠건강과학과,"* 국민체육진흥공단 발행 지도사 자격증 (생활, 전문, 유소년, 노인, 장애인 스포츠지도사) * 건강운동관리사 (국민체육진흥공단 발행) * 컴퓨터 활용능력 2급 이상 * 기사, 산업기사, 기능사 등",* 전공 관련 민간 자격증 3종 이상 (3개 미만 졸업시험 진행),* 토익550이상 * 토플350이상,,,본과생과 동일,졸업시험은 총 4과목으로 변경 * 체육원리 * 스포츠의학 * 스포츠마케팅 * 운동역학,
22,27,스포츠건강과학과,"[ 2027학년도 졸업심사요건 자격 변경 예정 사항] ※ 2027년도 부터는 심사요건이 졸업시험 필수(1개)로 변경될 예정이며 자격증 수준에 따라 시험교과목이 면제될 예정이오니 참고 바랍니다. 1. 전과목 면제 자격증 *국민체육진흥공단 발행 지도사 자격증 (생활, 전문, 유소년, 노인, 장애인 스포츠지도사) * 건강운동관리사 (국민체육진흥공단 발행) 2. 1과목 면제 자격증 * 컴퓨터활용능력1, 2급 (1과목 면제) * 한국사 (1과목 면제) * 기사, 산업기사, 기능사 (1과목 면제)",[ 2027학년도 졸업심사요건 자격 변경 예정 사항] ※ 2027년도 부터는 심사요건이 졸업시험 필수(1개)로 변경될 예정이며 자격증 수준에 따라 시험교과목이 면제될 예정이오니 참고 바랍니다. * 전공 관련 민간 자격증 2종 당 1과목 면제 (최대 2과목 면제),[ 2027학년도 졸업심사요건 자격 변경 예정 사항] ※ 2027년도 부터는 심사요건이 졸업시험 필수(1개)로 변경될 예정이며 자격증 수준에 따라 시험교과목이 면제될 예정이오니 참고 바랍니다. 1. 전과목 면제 자격 * 토익550이상 * 토플350이상,,,본과생과 동일,2027년 졸업요건 변경 예정사항,
23,28,식품영양학과,"1. 국가기술자격 * 정보처리기사 * 컴퓨터활용능력 1급 이상(2급의 경우 1/2로 인정) * 정보처리기능사 ** 조리기능사(한식, 양식, 제과제빵, 일식, 중식, 복어) ** 식품안전기사 ** 떡제조기능사, 조주기능사 ** 사회조사분석사(2급) * 컴퓨터그래픽스운용기능사 ** 식품산업기사 2. 국가전문자격 ** 위생사 ** 유통관리사 ** 보건교육사 ** 농산물품질관리사 ** 물류관리사 ** 영양사 또는 보건교육사 3급(편입생만 해당) * 한국사능력검정시험(1~3급, 심화) 3. 국가공인민간자격 * GTQ 1급 * IQT A등급 * 한자자격증 3급 이상",4. 민간자격 ** 바리스타 2급 ** 아동요리지도사 * 킨볼지도사 1급 * 킨볼심판 1급 ※ 온라인 취득 민간자격증은 졸업관련 자격증으로 불인정 5. 그 외 자격증 * 식품영양학과에서 지정한 자격증 외 기타 자격증 3개는 1개로 인정함 6. 그 외 대체요건 * 사회봉사교과목 이수 시 1개의 자격증 취득으로 인정함(1회만 인정) * 학술지 논문(등재후보지 이상) 게재 1/2로 인정 * 식품영양학과 캡스톤디자인 이수 1/2로 이정(중복허용),* 토익 700점 이상 * 토익 스피킹 레벨 6(등급 : IM3 이상) * CPT 500점/ 구 HSK 6등급 OR 신 HSK 5급 * JPT 600점/JLPT N4 * TOPIK 4급(외국인 유학생 대상),"* 외부 공모전 및 대회수상경력은 1개의 자격증 취득으로 인정 * 교내 수상경력 1/2로 인정(단, 캡스톤디자인으로 받은 교내 수상경력은 불인정) * 교내 수상경력으로 외부에서 수상할 경우, 1/2 추가로 인정(같은 프로그램 중복 허용) * 모든 교내 수상경력으로 연게하여 받은 외부수상은 해당 프로그램 전체 인원의 30% 이하만 수상 받았을 경우 인정함.",,"졸업시험 합격 (과목당 100점 만점, 60점 이하 과락, 전 과목 평균 70점 이상 합격)","▣ 외국어 및 자격증 필수 합격요건(택1) - 외국어 자격 : 1개 - 자격증 2개(편입생은 1개) ※ 전공자격증 표시 : ""**"" 표시",
24,29,보건경영학과,[복수 전공생 심사요건_택1] * 보건교육사 3급이상(2급 혹은 3급) * 컴퓨터활용능력 2급,,[복수 전공생 심사요건_택1] * TOEIC 600점 이상,,,창의 및 인증 심사 요건 중 택 1,,
25,30,수학과,* 기사 (전과목면제) * 산업기사 (전과목면제) * 기능사1급 (2과목 면제) * 기능사2급 (1과목 면제) * 워드프로세서 (2과목 면제) * 컴활1급 (2과목 면제) * 컴활2급 (1과목 면제) * MOS 마스터 (1과목 면제) * 문서실무사 1급 (1과목면제),* 은행텔러(1과목 면제) * 한자급수인증 2급이상 (1과목 면제),졸업시험 3과목 중 2과목 면제 1) 토플 79점 이상 2) 토익 600점 이상 3) 텝스 550점 이상 4) HSK 3급 이상 졸업시험 (전과목면제) 1) 토플 97점 이상 2) 토익 750점 이상 3) 텝스 700점 이상 4) OPIC intermediate Mid 이상 5) HSK 4급이상,,* 공무원 합격(전과목 면제),본과생과 동일,기타 자격 취득 또는 각종 시험 합격에 관한 사항은 수학과 교수 회의에서 의결한다,
26,31,데이터사이언스학과,* 기사 (전과목면제) * 산업기사 (전과목면제) * 기능사1급 (2과목 면제) * 기능사2급 (1과목 면제) * 워드프로세서 (2과목 면제) * 컴활1급 (2과목 면제) * 컴활2급 (1과목 면제) * MOS 마스터 (1과목 면제) * 문서실무사 1급 (1과목면제) *데이터분석준전문가(ADsP) (2과목면제) *데이터분석전문가(ADP) (전과목면제) *SQL개발자(SQLD) (2과목면제) *SQL전문가(SQLP) (전과목면제) *데이터아키텍처전문가(DAP) (전과목면제) *데이터아키텍처준전문가(DAaP) (2과목면제),* 은행텔러(1과목 면제) * 한자급수인증 2급이상 (1과목 면제),졸업시험 3과목 중 2과목 면제 1) 토플 79점 이상 2) 토익 600점 이상 3) 텝스 550점 이상 4) HSK 3급 이상 졸업시험 (전과목면제) 1) 토플 97점 이상 2) 토익 750점 이상 3) 텝스 700점 이상 4) OPIC intermediate Mid 이상 5) HSK 4급이상,,* 공무원 합격(전과목 면제),본과생과 동일,기타 자격 취득 또는 각종 시험 합격에 관한 사항은 수학과 교수 회의에서 의결한다,
27,32,에코응용화학전공,* 화학분석기사 * 대기환경기사 * 위험물산업기사 * 폐기물처리기사 * 식품기사 * 산업위생관리기사,,"* 토익750이상 * 토플 IBT 87이상 * JPT600이상,또는JLPT N2이상 * 신HSK5급이상 * OPIC IM이상 * 토익 스피킹 130점 이상",,* ROTC 학군 후보생 ※ 아래의 조건들을 다 충족 했을때만 인정함. - 군사학 4개 교과 이수 - 기초 군사훈련 및 전투-야간 지휘자훈련 이수,본과생과 동일,,
28,33,스마트모빌리티전공,,,,,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 창업(사업자등록증, 사업계획서(또는 보고서) 증빙) * 임관종합평가에 합격한 ROTC임관예정자","* 논문, 취업",,
29,34,컴퓨터공학전공,"1. 국제공인자격증 2개 *마이크로소프트(MCTS/MCSE/MCIPT-SA/ MCIPT-EA/MCDBA) *리눅스서버(LPIC/RHCE/RHCSA) *시스코(CCNA/CCNP/CCDA/ CCDP/CCSP/CCVP/CCIE/CCIP) *오라클(OCP/OCA/OCM) *SUN Microsystems(SCJP/ SCWCD/SCBCD/SCSA) *기타(CISSP/CISA/SCNA/ SCSECA/HP CSA&CSE/ 리버싱언어(해킹분야)) 2. 국가기술자격 1개 *정보처리기사 *정보통신기사 ( 디지털전자회로, 정보통신시스템, 정보통신기기, 정보전송공학 등 ) *전자계산기조직응용기사 ( 전자계산기프로그래밍, 자료구조 및 데이터통신, 운영체제 등 ) *전자계산기사 ( 시스템프로그래밍, 전자계산기구조, 논리회로, 데이터통신 ) *정보보안기사 *데이터분석 준전문가 *데이터분석 전문가 3. 위 자격증 이외에 학과에서 인정하는 자격증 포함",*학과에서 인정하는 교육의 수료증,1. 외국어 자격증 1개 *토익 650이상 *토익스피킹 LEVEL 5 *오픽 IM1 *토플 71점 이상 *토익 650이상에 준하는 기타 외국어 자격증,-,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 창업(사업자등록증) * 임관종합평가에 합격한 ROTC임관예정자","* 작품발표, 취업",,
30,35,AI빅데이터전공,"1. 국제공인 자격증 택2 ＊마이크로소프트(MCTS/MCSE/MCIPT-SA/ MCIPT-EA/MCDBA) ＊리눅스서버(LPIC/RHCE/RHCSA) ＊시스코(CCNA/CCNP/CCDA/ CCDP/CCSP/CCVP/CCIE/CCIP) ＊오라클(OCP/OCA/OCM) ＊SUN Microsystems(SCJP/ SCWCD/SCBCD/SCSA) ＊기타(CISSP/CISA/SCNA/ SCSECA/HP CSA&CSE/ 리버싱언어(해킹분야) 2. 국가기술자격 택 1 ＊정보처리기사 ＊빅데이터분석기사 ＊빅데이터분석전문가(ADP) (or 위와 동일 수준의 AI,컴퓨터 관련 자격증)",,* 토익 650이상 * 토익스피킹 110점(LEVEL5) * 오픽 IM1 * 토플 71점이상 * HSK 4급이상 * JLPT N3이상 * JPT 500이상 (or 위에 준하는 외국어 수준의 자격시험),,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) 및 활동보고서 제출시 인정","* 졸업작품, 논문, 취업 (자격증 외국어 조건 없음)","[본과생 자격증 및 외국어 요건 면제 조건] KCI, Scopus등 학술지 논문 등재시 면제",
31,36,스마트융합보안학과,* 정보처리기사 * 정보보안기사 * 산업보안관리사,* 디지털포렌식전문가2급 * 네트워크관리사,* TOEIC 550점 이상 * TEPS 452점 이상 * HSK 4급 이상 * JLPT 3급 이상,"* 각종학회 논문, 포스터 수상 등","* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 창업(사업자등록증, 사업계획서(또는 보고서) 증빙) * 임관종합평가에 합격한 ROTC임관예정자 * 관련업체 3개월 이상 인턴",본과생과 동일(졸업요건 중 택 1),,
32,37,의료IT융합전공,* 의공기사 * 정보처리기사 * RA전문가 2급,,* 토익 555 이상,,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙)",* 논문,,
33,38,휴먼∙로봇융합전공,,,,,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 창업(사업자등록증, 사업계획서(또는 보고서) 증빙) * 임관종합평가에 합격한 ROTC임관예정자","* 논문, 취업",,
34,39,전기공학전공,I&E자격 중 E자격 (택 1) * 전기기사 자격증 필기시험 합격 * 전기공사기사 자격증 필기시험 합격 * 전기산업기사 자격증 취득 * 전기공사산업기사 자격증 취득,I&E자격 중 E자격(택 1) * 국내외 전공 유관 학술단체 (학회)에서 개최하는 교외 경진대회 작품 출품 * 전력전자 트랙 교과목 중 세 개 이상의 전공 교과목 A학점 이상 취득 * 캡스톤디자인 교과에서 전력전자 관련 작품 제작 및 A+학점 취득,"I&E자격 중 I자격(택 1) * 공인 TOEIC 600점 이상 * 기타 공인영어점수(TOEFL, TEPS, OPIC 등)로서 TOEIC 600점에 준하는 점수 이상 * 본교 영어 교과 중 하나 이상을 A학점 이상 취득한 경우, TOEIC 500점 이상",,(택 1) * 취업자 * 대학원 진학 예정자 * 학생군사교육단(ROTC) 수료 후 임관 예정인자,본과생과 동일,※ [특이사항]특별한 사유가 있을 경우 전기공학전공 교수회의에서 의결함,
35,40,화학공학전공,* 화공기사 * 화약류제조기사 * 화학분석기사 * 생물공학기사 * 가스기사 * 가스산업기사 * 산업안전기사 * 위험물산업기사 * 에너지관리사,,* 토익 700이상 * 토익스피킹 IM3(130)이상 * 오픽 IM2 이상 * 토플 IBT 80 이상 * 토플 CBT200 이상 * HSK 5급이상,,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙)",* 자격증 또는 외국어 1개 취득 * 취업요건 : 본과생과 동일,"[유의사항] 3학년 2학기에 졸업논문으로 선택하여 졸업을 희망하는 학생은 추후 졸업논문 대체자격증 취득 시 대체자격증으로 졸업이 가능하나, 3학년 2학기에 졸업논문 미선택 및 졸업논문 대체 자격증으로 졸업을 선택한 학생은 추후 자격증 미취득으로 인하여 졸업논문으로 변경이 불가하며 졸업논문준비를 할 수 없음으로 이점 유의바람",
36,41,건축공학과,* 건축기사,,,,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙 등) * 창업(사업자등록증, 사업계획서(또는 보고서) 증빙) * 임관종합평가에 합격한 ROTC임관예정자 * 대학원 진학(진학관련 증빙 서류)",,"필수 요건을 만족하였으나, 선택 심사요건에 의해 1년 이상 졸업유예 하였거나 특수한 상황(유학 등의 사유로 증빙서류 준비가 어려울 경우 등)에는 학과 교수회의를 통해 선택심사 요건을 완화하거나 면제할 수 있음.",
37,42,데이터경영산업공학과,* 자격증 획득점수 120점 이상 * 자격증 종류와 획득점수는 학과 홈페이지 공지사항 '데이터경영산업공학과 졸업요건(논문)안내' 참조바람,,* 토익 800점 이상(그에 준하는 어학자격),,"* 4대보험 보장 기업 취업 (취업보고서, 재직증명서, 건강보험자격득실확인서 증빙)",,,
38,45,신소재공학과,*국가공인 자격증 중 기사 자격증(산업기사 포함),,*토익 800이상 *토플 91이상 *New TEPS 309이상 *OPIC IM3 *토익스피킹 LV.6 150점 *신HSK 5급 200점 *JPT 800 (JLPT N1) 이상,,"*취업자: 증빙서류(2종) 필수 제출(4대보험 보장 기업 취업) - 재직증명서 - 건강보험자격득실확인서 (※ 상기 서류 중 1개라도 제출 불가 시, 졸업 대체요건 인정불가)",본과생과 동일,,
39,48,토목공학전공,* 토목기사 * 건설재료시험기사 * 건설안전기사 * 수질환경기사 * 측량및지형공간정보기사 * 콘크리트기사 * 철도선기사 * 지적기사,,"* 토익600이상 * 토플IBT57(CBT160이상) * 텝스500이상 * JPL N3이상(JPL 성적 JLPT N3 이상 상응하는 점수는 대체 인정) * 신HSK4급이상 * 한국어능력시험 4급이상(외국인유학생만 해당) ※ 제출일 기준으로 만 1년 내에 취득한 점수(단, 외국인 유학생이 한국어능력시험 4급 이상의 증빙을 제출했을 경우는 2년 이내)",,,본과생과 동일,,
40,49,환경에너지공학전공,"*환경 분야 - 대기환경기사 - 소음진동기사 - 수질환경기사 - 온실가스관리기사 - 자연생태복원기사 - 토양환경기사 - 폐기물처리기사 - 생물분류기사(동물, 식물) *화공분야 - 생물공학기사 - 화공기사 - 화학분석기사 *토목분야 - 토목기사 - 해양공학기사 - 해양자원개발기사 - 해양환경기사 *에너지및기상 : - 신재생에너지발전설비(태양광)기사 - 에너지관리기사 - 기상감정기사 - 기상기사 *안전관리 - 산업안전기사 - 산업위생관리기사 *국가전문자격 - 정수시설운영관리사1급, 2급 - 환경측정분석사 - 환경관련분야 교사자격증",,*토익(TOEIC 600점이상) *New TEPS (228점이상) *IBT TOFLE (68점이상) *OPIC (IL 이상) *TOEIC SPEAKING (Level 4이상),* 전국단위 규모 공모전 입상,"*취업 - 재직증명서, 건강보험자격득실확인서 각 1부 *창업 - 사업자 등록증 1부",본과생과 동일,,
41,50,도시부동산공학과,도시계획기사 교통기사 건축기사 실내건축기사 조경기사 지적기사 토목기사 대기환경기사 수질환경기사 자연생태복원기사 자연생태복원산업기사 토양환경기사 감정평가사 공인중개사,,*TOEIC 700점이상 *TOEFL CBT 217점이상 *TOEFL IBT 82점이상 *HSK 5급이상,,,본과생과 동일,,
42,51,스마트건설환경공학과,도시계획기사 교통기사 건축기사 실내건축기사 조경기사 지적기사 토목기사 대기환경기사 수질환경기사 폐기물처리기사 자연생태복원기사 자연생태복원산업기사 토양환경기사 건설안전기사 감정평가사 공인중개사 정수시설운영관리사 환경측정분석사,,,,,본과생과 동일,,
43,52,반도체융합공학과,* 기사,,* TOEIC : 815점 이상 * TOEFL iBT : 94점 이상 * TEPS : 450점 이상 * OPIc : IM3 이상 * TOEIC Speaking : IH * HSK : 5급 이상 * JPT : 660점 이상 * JLPT : N1,,"* 4대 보험 보장 기업 취업(재직증명서, 건강보험 자격득실확인서 / 서류 2종 필수제출) * 창업(사업자등록증 필수제출) * ROTC 임관(임관종합평가 합격 증빙서류 필수제출)",본과생과 동일,,
44,60,K-문화콘텐츠융합전공,"*문화예술교육사 2급 이상 *GTQ 1급(미술, 디자인계열학과 불인정) *GTQi 1급(미술, 디자인계열학과 불인정) *한국사능력검정시험 2급 이상(역사문화콘텐츠학과 불인정) *문화관광해설사 자격 보유자",*디지털영상편집자격증 1급 ※위 자격증은 영화영상학과 불인정,"*토익 700이상 *토익스피킹 Lv6 이상 *오픽 IM 이상 ※위 자격증은 미국학과, 영어영문학과 불인정",,,,융합전공,
45,62,지식재산창업융합전공,*지식재산능력시험(I-PAT)(4급 이상) *변리사(1차시험 이상) *기술거래사,*창업보육지도사 *창업교육지도사 *청소년기업가정신지도사 *특허정보검색사 *기업기술가치평가사 *가치분석사 *기술사업화전문코디네이터 *기술창업지도사,,"*학술대회 수상 (한국지식재산교육연구학회상, 한국발명진흥회장상, 특허청장상, 한국지식재산미래인재상 등) *경진대회 수상 (대한민국특허대전, 서울국제발명전, 발명경진대회, 캠퍼스특허유니버시아드, 창업경진대회 등) *특허출원","*취업시 (재직증명서,건강보험자격득실확인서 증빙) 취업대체보고서 *창업후(사업자등록(본인명의)) 최근 6개월 평균 월매출액 100만원 이상",,[참고_보고서 종류] *특허기술조사보고서 *기업체특허컨설팅보고서 *창업사업계획서,
46,63,전기차핵심기술 융합전공,,,* TOEIC 700 이상 * TOEIC speaking Lv 6 이상 * OPIc IM 이상 * TOEFL IBT 80이상 * TOEFL CBT 200이상 * HSK 5급 이상,,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙)",,,
47,66,국방드론융합전공,,,,,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 임관종합평가에 합격한 ROTC임관예정자","* 논문, 취업",,
