source_number,academic_unit,transition_2026,category_code,category_name,primary_none,primary_one,primary_two,requirement_detail,double_major_none,double_major_one,reference_note,source_note
33,스마트모빌리티전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,논문(작품),,선택,,
33,스마트모빌리티전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
33,스마트모빌리티전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업, 창업, ROTC임관",,선택,,
33,스마트모빌리티전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
34,컴퓨터공학전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,필수,작품발표,,선택,,
34,컴퓨터공학전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,필수,"자격증, 외국어",,,※ [특이사항] 본과 외국인학생 : 작품발표(C영역 미적용),
34,컴퓨터공학전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,필수,,"취업, 창업, ROTC임관",,선택,,
34,컴퓨터공학전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
35,AI빅데이터전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,필수,"작품발표, 논문",,선택,,
35,AI빅데이터전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,필수,"자격증, 외국어",,,※ [특이사항] 자격증 및 외국어 면제조건((표준화자격)학과별 자격 지정 현황 참고),
35,AI빅데이터전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,필수,,취업,,선택,,
35,AI빅데이터전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
36,스마트융합보안학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,선택,"논문, 연구보고서, 실기작품발표",,선택,,
36,스마트융합보안학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,선택,"자격증, 외국어, 수상",,선택,,
36,스마트융합보안학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,선택,"취업, 창업, ROTC임관, 인턴, 현장실습(6학점 이상)",,선택,,
36,스마트융합보안학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,선택,"전공연계 비교과 2회 이상, 봉사 30H 이상",,선택,,
37,의료IT융합전공,기존 자격요건 유지,A,"학문 심사(논문, 시험, 작품, 보고서)",,,필수,논문,,필수,,2026학년도 표준화 자격 미실시 : 기존자격_ 졸업논문지정현황표 참고
37,의료IT융합전공,기존 자격요건 유지,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,선택,"자격증, 외국어",,,,
37,의료IT융합전공,기존 자격요건 유지,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,선택,취업,,,,
37,의료IT융합전공,기존 자격요건 유지,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
38,휴먼∙로봇융합전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,논문(작품),,선택,,
38,휴먼∙로봇융합전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
38,휴먼∙로봇융합전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업, 창업, ROTC임관",,선택,,
38,휴먼∙로봇융합전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
39,전기공학전공,기존 자격요건 유지,A,"학문 심사(논문, 시험, 작품, 보고서)",,,,,,,,2026학년도 표준화 자격 미실시 : 기존자격_ 졸업논문지정현황표 참고
39,전기공학전공,기존 자격요건 유지,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,I&E 자격 제도(외국어 1개& 자격증 1개 이수),,,,
39,전기공학전공,기존 자격요건 유지,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업, 대학원 진학, ROTC 임관",,,,
39,전기공학전공,기존 자격요건 유지,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
40,화학공학전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,논문,,,,
40,화학공학전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,자격증2개 또는 자격증1개+외국어1개,,선택,* 자격증 또는 외국어 1개 취득,
40,화학공학전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,취업,,선택,,
40,화학공학전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
41,건축공학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,필수,논문,,필수,,
41,건축공학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,선택,자격증,,,,
41,건축공학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,선택,"취업, 창업, 대학원, ROTC임관",,,,
41,건축공학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
42,데이터경영산업공학과,기존·표준화 자격요건 모두 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,,,없음,,,"2026학년도 : 기존자격 및 표준화 자격 모두 진행 함, 학생 선택에 따름"
42,데이터경영산업공학과,기존·표준화 자격요건 모두 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,선택,"자격증(점수 합산제), 외국어",,,,
42,데이터경영산업공학과,기존·표준화 자격요건 모두 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,선택,취업,,,,
42,데이터경영산업공학과,기존·표준화 자격요건 모두 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,필수,"봉사 60H, 비교과 15회",,,,
43,IT기계공학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,필수,,논문,,필수,,
43,IT기계공학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
43,IT기계공학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
43,IT기계공학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
44,전자공학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,필수,,논문,,필수,,
44,전자공학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
44,전자공학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
44,전자공학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
45,신소재공학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,논문,,선택,,
45,신소재공학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증, 외국어",,선택,,
45,신소재공학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,취업,,선택,,
45,신소재공학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
46,건축학전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,필수,,작품(&포트폴리오),,필수,,
46,건축학전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
46,건축학전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
46,건축학전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
47,스마트시티전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,필수,,졸업작품,,필수,,
47,스마트시티전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
47,스마트시티전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
47,스마트시티전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
48,토목공학전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,시험,,선택,,
48,토목공학전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증, 외국어",,선택,,
48,토목공학전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
48,토목공학전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
49,환경에너지공학전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,논문,,선택,,
49,환경에너지공학전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증, 외국어, 수상",,선택,,
49,환경에너지공학전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업, 창업",,선택,,
49,환경에너지공학전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
50,도시부동산공학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,"논문, 보고서",,선택,,
50,도시부동산공학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증, 외국어",,선택,,
50,도시부동산공학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
50,도시부동산공학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
51,스마트건설환경공학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,"논문, 작품",,선택,,
51,스마트건설환경공학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,자격증,,선택,,
51,스마트건설환경공학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
51,스마트건설환경공학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
52,반도체융합공학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,논문,,선택,,
52,반도체융합공학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증, 외국어",,선택,,
52,반도체융합공학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업, 창업, ROTC 임관",,선택,,
52,반도체융합공학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
53,휴먼케어평생교육학과(야),표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",없음,,,,없음,,,
53,휴먼케어평생교육학과(야),표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
53,휴먼케어평생교육학과(야),표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
53,휴먼케어평생교육학과(야),표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
54,사회복지상담학과(야),표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",없음,,,,없음,,,
54,사회복지상담학과(야),표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
54,사회복지상담학과(야),표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
54,사회복지상담학과(야),표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
55,드론산업학과(야),표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",없음,,,,없음,,※ [특이사항] 2025학년도 신설학과로 2027학년도에 졸업심사요건 지정예정,
55,드론산업학과(야),표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
55,드론산업학과(야),표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
55,드론산업학과(야),표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
56,자율전공학부 (자기설계전공),표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,필수,,보고서,없음,,* 자기설계전공,
56,자율전공학부 (자기설계전공),표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
56,자율전공학부 (자기설계전공),표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
56,자율전공학부 (자기설계전공),표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
57,한국학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",없음,,,,,,,
57,한국학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
57,한국학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
57,한국학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
58,국제경영학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",없음,,,,,,,
58,국제경영학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
58,국제경영학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
58,국제경영학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
59,캐릭터∙아트상품융합전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,,,,필수,작품(포트폴리오 제작),
59,캐릭터∙아트상품융합전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
59,캐릭터∙아트상품융합전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
59,캐릭터∙아트상품융합전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
60,k-문화콘텐츠융합전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,,,,선택,"작품, 보고서",
60,k-문화콘텐츠융합전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,선택,"자격증, 외국어",
60,k-문화콘텐츠융합전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
60,k-문화콘텐츠융합전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
61,게임·콘텐츠융합전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,,,,필수,작품(포트폴리오 제작),
61,게임·콘텐츠융합전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
61,게임·콘텐츠융합전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
61,게임·콘텐츠융합전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
62,지식재산창업융합전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,,,,선택,"논문, 보고서((표준화자격)학과별 자격 지정 현황 참고)",
62,지식재산창업융합전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,선택,"특허출원, 자격증, 수상",
62,지식재산창업융합전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,선택,"취업, 창업",
62,지식재산창업융합전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
63,전기차핵심기술융합전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,,,,선택,"논문, 시험, 작품, 보고서",
63,전기차핵심기술융합전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,선택,외국어,
63,전기차핵심기술융합전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,선택,취업,
63,전기차핵심기술융합전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
64,스마트시티융합전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,,,없음,,,
64,스마트시티융합전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
64,스마트시티융합전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
64,스마트시티융합전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
65,통일한국인재전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,,,,필수,시험,
65,통일한국인재전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
65,통일한국인재전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
65,통일한국인재전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
66,국방드론융합전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,,,,선택,논문(작품),
66,국방드론융합전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
66,국방드론융합전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,선택,"취업, ROTC임관",
66,국방드론융합전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
